,USE,101,102,103,201,301,401,501,601,701,801,802,901,1001,1101,1102,1103,1104,1105,1106,1107,1108,1109,1201,1202,1205,1301,1302,1303,1304,1305,1306,1401,1402,1501,1502,1601,1701,1801,1802,1803,1804,1901,1902,2001,2002,2003,2004,2005,2101,2102,2201,2202,2203,2204,2301,2302,2303,2304,2401,2403,2404,2405,2501,2502,2601,2605,2701,2801,2901,3001,3002,3101,3201,3301,3901,4401,4501,4601,4701,4801,4901,5101,5201,5401,5501,5601,5701,5801,6001,6201,6301,6401,6601,6701,6702,6901,7001,7210,7310,7501,7601,7701,8010,8110,8210,8401,8601,8901,9101,9201,9401,9402,9501,9502,,,,,,,,,,
5701,"Internet service providers, internet publishing and broadcasting, websearch portals and data processing",11,1,9,0,0,1,2,68,61,7,47,2,7,18,0,28,3,0,3,3,4,9,27,2,11,0,0,8,0,0,0,2,27,104,107,32,32,48,0,46,2,92,2,6,1,32,4,1,140,1,4,45,3,20,266,9,11,0,17,12,4,50,3,1,65,117,5,18,71,217,80,89,229,752, 1 178,82,52,185,10,19,13,98,289,104,24,8,766,601,98,602,283,675,77,0,120,971,507,235,86,460,14,121,209,383,254,121,136,191,63,79,38,29,199,14, 12 498, 2 445,48,160,3,38,0,662, 3 355, 15 853
5801,Telecommunication services,41,7,58,3,0,5,20,96,107,11,92,4,40,37,0,140,6,0,13,8,10,16,50,6,21,0,0,13,0,0,0,6,79,6,62,80,187,81,0,99,7,171,3,14,4,112,22,7,216,1,6,197,14,66,429,49,35,0,55,44,12,185,24,13,134,245,26,102,130,699,412,384,900, 2 233, 2 786,142,214,427,38,37,81,216,798,180,40,184, 3 264, 9 909,4, 1 161,475, 1 198,313,0,406, 1 544,992,720,303, 1 340,73,279,702,746,224,773,366,159,177,222,258,187,631,36, 39 958, 15 925,151, 1 436,488,565,0, 1 822, 20 387, 60 345
6001,Library and other information services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,0,4,0,1,2,4,2,0,0,0,0,1,0,0,0,0,28,487, 1 291,3,0,1,0,162, 1 944, 1 972
6201,Finance, 1 683,132,785,28,1,48,151,906, 4 080, 1 487,532,182,429,155,2,46,21,2,72,39,33,68,66,337,218,0,1,17,1,8,1,7,38,12,20,34,12,74,0,124,13,48,1,40,7,37,5,6,82,108,0,73,8,32,52,12,58,37,25,33,3,67,17,15, 1 202, 1 472,173, 1 713,76, 1 081,728,528, 1 614, 1 785, 1 554,476,788,426,326,505,124,71, 2 714,60,49,127,109, 1 199,1, 9 174, 9 210, 1 696,752, 30 426, 5 793, 5 669,293,902,293, 2 066,195,249,812,362,176, 1 656,210,32,100,97,101,48,274,27, 102 142, 39 707,115, 1 536,15,374,0, 4 036, 45 784, 147 926
6301,Insurance and superannuation funds,92,8,44,5,1,7,16,49,117,46,57,21,21,5,1,3,3,3,8,5,9,14,4,3,4,1,1,3,1,1,1,4,10,3,3,7,10,5,1,7,3,8,2,3,1,7,2,1,11,2,2,20,4,7,6,3,6,8,6,5,3,13,3,4,6,17,1,12,16,92,73,66,385,241,242,21,140,125,13,9,10,25,48,6,9,4,9,68,1,968,289,130,115, 2 381,119,398,72,104,71,346,5,26,34,22,31,126,50,12,21,19,33,13,43,4, 7 801, 47 967,1,271,15,55,0,485, 48 795, 56 596
6401,Auxiliary finance and insurance services, 1 070,86,936,13,0,48,123,450,923,456,707,127,149,102,1,88,15,11,40,24,65,61,99,73,51,0,4,11,0,1,4,17,87,20,50,65,131,73,0,139,13,111,10,25,6,129,11,3,215,7,6,192,16,20,141,28,16,2,33,26,10,114,30,22, 1 772, 1 999,133,868, 2 519, 1 052,302,209, 2 666, 1 720, 1 505,718,937,826,161,484,68,83, 1 556,2,49,2,50,352,1,799, 7 451, 1 113,528,2, 4 096, 2 210,313,967,235, 3 364,2,72,803,820,204, 1 823,221,47,132,126,249,81,38,2, 53 238, 3 047,1,415,9,97,0, 1 214, 4 784, 58 022
6601,Rental and hiring services (except real estate),157,19,80,55,5,72,152,505, 1 328,139,856,63,30,17,0,20,3,2,15,13,13,13,22,1,2,0,0,2,0,1,1,5,29,12,43,42,207,15,0,20,3,50,2,7,2,34,12,2,90,7,5,101,12,33,73,53,23,0,24,8,2,33,8,9,136,256,88,10,23,630,175, 1 036, 2 435,817,645,104,277,221,92,11,47,133,577,11,61,35,119,255,2,234,217,150,271,0,446,894,749,295,418,539,54,174,81,130,21,745,317,59,218,159,254,894,351,17, 20 430, 1 074,0,78,1,19,0, 1 309, 2 482, 22 912
6701,Ownership of dwellings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 209 099,299,0,0,0,0, 4 152, 213 550, 213 550
6702,Non-residential property operators and real estate services,283,34,202,0,0,1,56,306,297,114, 1 470,47,27,124,1,64,17,13,34,44,33,66,21,11,22,0,1,4,0,1,1,26,54,67,68,66,591,33,0,52,8,76,4,46,10,112,22,3,46,8,32,310,63,115,99,112,33,135,33,30,7,85,2,5,21,37,1,10,312,779,183,631, 4 114, 8 785, 8 194,229, 5 544,997,561,85,466,852, 1 442,90,163,179,200, 2 939,6,229, 1 040, 1 194, 3 999, 1 098, 4 203, 5 702, 2 064, 2 906, 1 784, 1 109,56,546,929, 1 252,549, 1 004,663,240,565,284,127,54,270,39, 74 372,10,99, 11 976,2,18,0,103, 12 208, 86 580
6901,"Professional, scientific and technical services", 1 467,144,937,71,2,30,321, 1 783,503, 1 084, 2 894,159, 4 634,141,12,333,70,15,295,107,321,290,334,108,140,1,4,34,0,9,4,36,298,88,630,545,554, 1 011,2,300,53,600,30,95,51,528,237,31,259,12,15,861,126,405,406, 1 087,235,866,253,659,49, 1 249,109,48,385,714,216,684, 3 468, 3 942, 2 598, 7 345, 7 189, 6 825, 8 077,299,905, 3 477,85,454, 1 027,398, 3 135,583,348,572,459, 4 503,14,731, 1 475, 8 601, 1 239,393, 6 786, 32 737, 6 239, 5 674, 1 272, 5 014,870,629, 1 121, 1 376,225, 3 640, 1 276,453, 1 694, 1 334, 1 035,944,791,46, 171 272, 6 523, 4 716, 9 570,45,674,0, 7 136, 28 664, 199 936
7001,Computer systems design and related services,15,4,8,6,0,1,8,89,56,17,99,6,16,19,0,21,6,2,16,13,17,25,32,2,8,0,1,10,0,1,1,5,20,8,39,33,38,58,0,58,18,65,8,23,8,52,15,2,98,3,6,47,12,26,171,15,15,11,77,26,7,67,10,6,47,89,15,11,57,124,47,59,313, 1 346,657,55,73,195,32,34,56,113,248,215,16,0,332, 3 066,6, 5 396, 7 303, 1 977,156,0,224, 2 935, 4 860, 1 454,123, 2 898,659, 1 344,780,911,179,349,307,173,52,66,26,38,340,59, 41 359,6,25, 15 471, 1 044, 2 995,0, 2 756, 22 297, 63 656
7210,"Employment, travel agency and other administrative services",963,39,106,45,1,17,151,433,400,62,432,95,207,524,3,40,147,3,26,75,51,137,168,7,142,0,1,16,2,60,9,42,247,9,114,125,79,190,0,122,24,313,43,31,8,336,70,13,183,41,1,311,18,55,296,22,112,42,67,70,23,257,58,41,226,404,10,238,277,757,239, 1 087, 2 159, 2 199, 2 015,794, 2 860,881,252,256, 2 601,350, 3 620,225,171,85,139,406,245, 2 392, 5 249, 2 682, 1 103,58,993, 9 179, 3 354, 3 204,985, 1 248,10, 1 741, 1 278, 1 654,298, 3 914, 1 483,555, 1 075,502,162,352,922,17, 74 629, 2 720, 4 803,144,4,32,0, 3 319, 11 022, 85 651
7310,"Building cleaning, pest control and other support services",21,12,49,22,0,12,52,5,34,2,53,1,4,70,10,67,79,21,37,74,47,41,27,57,103,1,1,11,0,1,3,19,31,12,74,37,15,80,0,19,3,29,15,58,30,81,31,16,4,1,6,20,5,11,9,22,7,1,5,8,2,19,6,6,1,7,6,8,80,366,198,280, 1 335, 1 392,517,757,519,89,69,62,111,172,967,3,13,1,2,175,1,10,10,27,285,534, 3 130, 1 181,8,77,951,509,64,558,544,581,99, 1 135,871,52,369,202,16,20,517,97, 20 576, 1 456,0,26,1,6,0,49, 1 539, 22 115
7501,Public administration and regulatory services,36,2,44,5,0,10,20,363,252,144,670,46,20,44,0,5,0,0,16,6,30,47,49,3,7,0,0,1,0,0,0,3,19,12,102,41,96,11,0,235,18,85,0,3,1,39,4,0,47,2,2,59,15,21,137,33,7,0,8,6,2,23,2,0,23,40,0,108,0,886,481,439,519,281,404,4,11, 1 506,35,7,1,176,894,5,12,954,3,258,1,178,190,358,103,0,91, 1 650,705,407,208, 2 729,120,252,629,653,116,362,292,42,19,21,191,80,166,3, 19 466, 1 544, 76 918, 1 474,31,177,0,233, 80 377, 99 843
7601,Defence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,0,1,1,0,0,0,1,1,1,0,0,1,23,0,58,77,11,1,0,1,22,27,10,1,24,3,9,5,6,1,2,3,1,0,1,0,0,2,0,315,0, 34 161,786,19,182,0,161, 35 309, 35 624
7701,Public order and safety,1,0,0,1,0,1,4,164,39,61,252,17,43,6,0,3,0,0,1,16,3,3,18,0,11,0,0,1,0,0,0,4,26,20,53,1,81,121,0,45,6,119,7,10,0,63,24,0,3,0,0,125,13,33,121,13,0,0,24,11,5,54,10,3,39,51,2,25,21,136,110,116,500,256,235,15,59,113,3,8,9,54,319,1,48,1,0,12,1,105,65,30,189,7,286, 1 053,415,223,108,353,12,74,175,182,37,225,176,78,84,104,55,131,143,3, 8 093,230, 23 198,101,7,20,0,65, 23 620, 31 713
8010,Primary and secondary education services (including pre-schools and special schools),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,1,0,0,0,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24, 27 451, 41 310,12,1,2,0,565, 69 340, 69 364
8110,"Technical, vocational and tertiary education services (including undergraduate and postgraduate)",2,0,2,0,0,0,1,31,27,9,39,2,7,8,0,10,1,1,3,3,5,3,4,1,1,0,0,1,0,1,0,1,4,1,4,7,27,15,0,6,1,11,0,2,0,19,2,0,8,1,0,16,1,3,14,4,3,0,6,3,1,12,1,0,1,48,3,7,50,26,6,7,42,29,24,5,9,21,6,2,6,7,58,7,2,4,0,11,1,313,90,320,24,0,31,324,66,118,59,74,17,53,273,321,45,66,86,26,4,4,44,7,75,12, 3 175, 18 068, 17 096, 1 096,11,267,0, 15 049, 51 588, 54 763
8210,"Arts, sports, adult and other education services (including community education)",1,0,0,0,0,0,1,7,3,2,18,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,8,0,1,0,1,0,0,0,3,1,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,3,8,4,4,5,24,15,12,1,2,15,2,1,1,2,4,1,1,0,0,1,0,1,2,0,5,0,15,33,1,9,4,44,0,1,57,96,267,7,42,57,180,1,2,2,3,0, 1 007, 7 270, 1 429,41,1,10,0,970, 9 720, 10 727
8401,Health care services,1,0,0,2,1,2,2,1,6,2,4,0,3,1,0,1,0,0,1,1,1,1,11,6,6,1,2,4,0,0,1,4,11,5,4,8,4,79,3,119,57,5,5,1,0,1,0,0,5,4,1,1,1,1,0,0,1,1,1,2,1,2,1,1,3,1,0,2,0,0,2,5,5,12,16,8,8,0,0,2,0,28,14,10,0,0,0,2,0,26, 2 245,64,7,0,9,28,2,21,34,112,127,14,74,118,12, 1 205,201,0,12,3,5,8,13,1, 4 847, 40 843, 68 464,254,3,61,0,611, 110 237, 115 084
8601,Residential care and social assistance services,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,10,13,2,1,0,1,8,5,2,0,6,1,2,1,1,0,916,37,0,0,0,0,0,0,0, 1 022, 24 220, 55 214,166,4,39,0,199, 79 842, 80 864
8901,"Heritage, creative and performing arts",4,0,1,1,1,1,2,5,5,4,21,1,9,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,5,16,0,2,1,17,0,1,16,20,35,19,33,4,17,1,1,2,3,140,230,74,13,60,2,23,8,9,45,0,14,440,9,194,54,49,43,34,347,413,79,79,162,693,254,124,1,1,42,25, 3 930, 1 397, 3 520,243,1,2,0,440, 5 603, 9 533
9101,Sports and recreation,4,2,2,2,0,0,2,56,69,20,81,7,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,3,0,1,0,3,2,0,1,1,0,3,1,1,5,2,1,0,3,0,0,1,1,1,15,11,0,2,1,113,61,61,177,286,248,16,23,11,2,8,19,3,3,0,136,0,22,7,1,59,69,90,41,0,72,389,26,139,10,100,96,54,273,306,60,252,210,54, 1 717,442,7,7,95,12, 6 104, 10 147, 3 162,85,1,20,0,908, 14 324, 20 428
9201,Gambling,4,1,3,1,0,0,1,12,8,4,10,1,2,0,0,0,0,0,1,1,2,1,8,3,2,0,0,0,0,0,0,0,0,1,2,2,6,3,0,3,0,3,0,1,0,3,1,0,1,0,0,5,1,1,4,2,1,0,2,0,0,1,1,1,1,3,0,2,1,5,2,4,61,10,9,0,1,6,1,0,1,3,5,0,1,1,13,8,0,10,5,3,3,0,5,72,15,31,3,10,1,6,5,8,1,2,2,1,2,262,4,4,2,0,708, 10 178,177,45,1,11,0,791, 11 203, 11 911
9401,Automotive repair and maintenance,69,3,45,7,4,19,30,131,111,52,273,22,42,6,0,4,5,2,17,12,17,18,23,2,1,0,0,0,0,0,0,4,13,4,5,22,62,30,0,26,5,8,0,4,2,12,2,1,8,1,2,21,4,6,38,0,0,0,1,3,0,12,13,8,26,46,1,50,260,133,26,111, 1 127,403,190,6,15, 3 177,21,58,13,283,143,1,15,3,0,191,1,57,64,62,63,0,64,128,303,141,163,111,49,67,36,62,5,82,28,29,21,20,84,126,28,2, 9 330, 11 565,0,41,0,10,0,136, 11 754, 21 084
9402,Other repair and maintenance,262,11,109,25,4,11,115,673,482,124, 1 929,60,262,32,3,31,5,9,13,30,8,33,5,1,10,0,0,28,0,1,6,28,146,28,81,55,469,51,0,18,2,146,2,9,3,247,11,0,31,0,1,72,11,29,17,30,3,53,15,9,1,49,22,10,103,186,30,125,59,398,60,191,494,708,586,12,49,192,65,71,84,275,561,14,7,11,171,947,0,296,40,178,99,41,165,786,185,339,339,107,74,84,158,188,31,97,175,13,21,27,5,58,142,10, 14 991,590,0,30,1,7,0,6,633, 15 624
9501,Personal services,9,1,9,3,3,2,1,11,15,2,27,0,2,1,0,1,0,0,1,1,1,1,2,1,1,0,0,1,0,0,0,0,1,1,1,1,4,2,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,5,3,0,3,43,15,17,35,43,59,161,40,18,194,3,12,4,7,43,9,108,8,0,2,1,6,6,1,13,18,17,217,3,27,12,31,91,11,30,58,1, 1 168,217,69,20,41,2,12,172,6, 3 201, 12 127,782,40,1,9,0,355, 13 314, 16 515
9502,Other services,0,0,0,0,0,0,0,10,9,8,45,1,0,7,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,2,6,1,4,9,0,5,1,11,0,0,0,3,0,0,3,0,0,6,0,2,11,2,1,0,2,0,0,2,2,0,1,3,0,1,32,131,72,71,89,9,19,1,4,5,1,7,1,1,5,1,0,0,0,2,0,20,11,1,6,0,5,95,3,22,7,8,123,11,28,42,2,70,51,0,21,2,1,0,22,1, 1 171, 11 947,26,41,1,9,0,84, 12 108, 13 279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,Total Intermediate Use, 23 868, 3 497, 12 332,951, 1 445, 1 145, 5 089, 23 090, 18 522, 14 972, 30 845, 2 992, 8 130, 26 027,793, 10 210, 2 772, 1 101, 4 521, 4 288, 5 187, 6 981, 3 299, 2 214, 4 216,318,496, 1 556,16,284,171, 3 469, 5 397, 1 702, 3 813, 2 769, 6 433, 5 294,171, 8 166, 1 031, 6 938,366, 1 669,475, 6 109, 1 797,897, 7 022, 34 764,388, 9 079, 1 697, 3 603, 4 990, 2 531, 2 602, 2 395, 2 370, 2 069,466, 5 712, 2 000, 1 035, 14 667, 30 748, 3 340, 7 801, 10 739, 69 695, 41 466, 38 832, 148 849, 61 272, 51 139, 8 575, 34 069, 28 405, 7 670, 6 399, 14 728, 7 946, 33 025, 3 028, 4 732, 4 637, 6 809, 34 982,445, 26 099, 39 203, 24 824, 13 560, 50 734, 37 038, 92 095, 27 274, 26 868, 10 530, 36 997, 13 030, 9 708, 14 109, 16 690, 4 215, 33 440, 14 908, 4 369, 10 235, 6 304, 7 123, 6 466, 8 286,981,1 569 624, 871 759, 365 771, 279 606, 23 190, 64 370,- 1 920, 459 368,2 062 144,3 631 768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Compensation of employees, 2 816,723, 2 813,346,692,300, 1 343, 6 436, 4 445, 5 128, 6 685, 1 331, 4 993, 4 291,116, 1 777,875,164,829, 2 553, 1 555, 1 814,790,653, 1 157,83,75,694,17,493,124,774, 2 312,424, 1 264, 2 122,675, 1 790,130, 2 228,682, 2 855,234,954,311, 1 334,751,504, 2 171, 2 391,163, 3 974, 1 223, 2 156, 2 640, 1 608,819, 1 303, 2 845, 1 176,337, 3 975, 1 268,692, 1 489, 5 354,301, 3 688, 3 161, 8 453, 6 607, 15 769, 44 124, 45 102, 52 215, 5 007, 26 392, 16 295, 4 958, 1 939, 5 610, 4 010, 11 040, 2 863, 2 137, 2 098, 2 977, 8 518,582, 23 285, 7 822, 17 510, 5 065,0, 13 944, 73 216, 24 051, 49 512, 6 828, 50 663, 13 888, 17 674, 46 562, 30 611, 3 388, 59 633, 57 054, 1 954, 5 126, 2 219, 5 730, 3 862, 4 868, 9 545, 918 895,0,0,0,0,0,0,0,0, 918 895
P2,Gross operating surplus & mixed income, 13 428, 4 071, 9 630,416, 1 284, 1 064, 1 347, 40 245, 53 397, 57 073, 7 054, 1 677, 2 677, 1 947,216,962,191,202,227,227,993, 2 021,650, 1 105,705,73,184,435,5,121,53,623, 1 211,282,609,450, 4 621, 2 341,111, 1 256, 1 000, 1 359,130,579,337, 1 292,545,326,510, 1 319,164, 1 756,633,475,886,598,224,557, 2 850,612,221, 1 214,652,492, 4 619, 12 755, 1 589, 10 321, 1 511, 10 875, 5 888, 14 168, 34 238, 24 174, 24 046, 2 936, 7 678, 7 952, 2 212, 3 145, 4 123, 2 015, 22 587, 1 785,689, 2 185, 4 898, 12 660,863, 90 803, 4 530, 12 861, 2 807, 143 389, 29 329, 24 212, 7 613, 4 611, 3 456, 8 960, 6 277, 2 442, 4 819, 3 186, 2 527, 14 043, 4 635, 2 771, 1 503, 1 983, 2 885, 2 087, 1 724, 1 929, 839 209,0,0,0,0,0,0,0,0, 839 209
P3,Taxes less subsidies on products,593,69,384,38,129,40,95,28,110,318,122,39,39,142,4,66,11,16,30,34,35,48,34,162,53,4,2,21,0,2,6,16,25,14,13,12,140,10,1,162,9,36,8,15,3,26,10,3,14,117,2,66,11,31,67,18,22,9,8,7,3,24,9,5,157,33,4,126,72,382,121,225, 1 579,253,367,402, 2 152,833,-40,64,134,295,306,28,25,6,4,702,1, 1 648, 2 460,216,359, 3 148,805, 1 433,239,409,339,149,136,176,223,495,50,132,99,11,35,61,125,27,81,14, 24 693, 76 975,0, 24 556,10,93,-537,465, 101 562, 126 255
P4,Other taxes less subsidies on production,701,61,253,18,6,30,86,398,251,334,431,169,241,180,6,109,38,8,45,124,68,83,44,41,64,3,2,36,5,20,6,66,119,32,79,119,36,68,4,150,36,171,12,65,38,133,51,23,104,117,6,228,61,113,139,65,18,57,137,65,15,199,80,32,- 1 103, 3 693,157,358,194,757,443,584, 2 463, 2 572, 3 297,695, 1 585, 1 910,79,105,282,319, 1 003,147,155,123,123,206,23, 4 981, 1 275, 1 048,318, 15 765, 4 526, 3 233, 1 004, 1 979,314, 1 068,0,810,813,102,20, 1 626, 1 007,-199,243,181,445,168,289,636, 68 321,0,0,0,0,0,0,0,0, 68 321
P5,Complementary imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P6,Competing imports, 3 012,343, 1 407,322,537,377,405, 4 501, 1 663, 2 763, 4 931,458,803,360,80,857,856,332,347,957,756, 1 501,605,240,233,12,54,260,1,172,114,61,566,357,991,892, 11 617, 1 809,356, 1 770,341, 2 560,143,397,100,618,390,186,691, 6 771,93, 2 723,668, 1 613, 2 572,898, 1 200, 1 209, 2 857, 1 071,277, 2 574,759,328, 1 162, 1 218,137, 1 102,934, 7 035, 4 594, 4 066, 20 688, 7 047, 3 349,961, 3 508, 5 958,836,424, 5 377, 1 400,818,749,828, 1 443, 1 042, 3 278,58, 1 110, 1 307, 1 563,803,515,938, 5 747, 3 475, 2 272,649, 2 006, 2 294,903, 2 838, 3 679,527, 6 210, 3 160,627, 3 286, 1 164, 4 776, 3 014, 1 267,175, 211 026, 130 769, 5 404, 48 837, 1 593, 11 444, 1 718, 10 977, 210 743, 421 769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australian Production, 44 418, 8 764, 26 818, 2 091, 4 093, 2 956, 8 365, 74 698, 78 388, 80 588, 50 068, 6 666, 16 883, 32 947, 1 215, 13 982, 4 744, 1 822, 5 999, 8 183, 8 594, 12 448, 5 421, 4 415, 6 429,493,812, 3 001,44, 1 091,473, 5 009, 9 630, 2 811, 6 769, 6 364, 23 522, 11 312,773, 13 732, 3 099, 13 919,893, 3 679, 1 264, 9 512, 3 544, 1 939, 10 512, 45 479,815, 17 826, 4 293, 7 991, 11 294, 5 717, 4 885, 5 530, 11 067, 5 000, 1 318, 13 698, 4 768, 2 584, 20 991, 53 800, 5 528, 23 396, 16 611, 97 197, 59 119, 73 644, 251 941, 140 420, 134 413, 18 575, 75 384, 61 353, 15 715, 12 076, 30 255, 15 986, 68 779, 8 600, 8 566, 10 492, 15 853, 60 345, 1 972, 147 926, 56 596, 58 022, 22 912, 213 550, 86 580, 199 936, 63 656, 85 651, 22 115, 99 843, 35 624, 31 713, 69 364, 54 763, 10 727, 115 084, 80 864, 9 533, 20 428, 11 911, 21 084, 15 624, 16 515, 13 279,3 631 768,1 079 503, 371 175, 352 999, 24 794, 75 907,-739, 470 810,2 374 449,6 006 217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Value Added, 16 945, 4 855, 12 696,780, 1 982, 1 394, 2 776, 47 079, 58 093, 62 535, 14 170, 3 177, 7 911, 6 418,338, 2 848, 1 104,374, 1 101, 2 904, 2 616, 3 918, 1 484, 1 799, 1 926,159,261, 1 165,27,634,183, 1 463, 3 642,738, 1 952, 2 691, 5 332, 4 199,245, 3 634, 1 718, 4 385,376, 1 598,686, 2 759, 1 347,853, 2 785, 3 827,333, 5 958, 1 917, 2 744, 3 665, 2 271, 1 061, 1 917, 5 832, 1 853,573, 5 388, 2 000, 1 216, 5 005, 21 802, 2 047, 14 367, 4 866, 20 085, 12 938, 30 521, 80 825, 71 848, 79 558, 8 638, 35 655, 26 157, 7 249, 5 189, 10 015, 6 344, 34 630, 4 795, 2 981, 4 406, 7 998, 21 384, 1 468, 119 069, 13 627, 31 419, 8 190, 159 154, 47 799, 100 661, 32 668, 56 102, 10 598, 60 691, 20 165, 20 926, 52 194, 33 899, 5 935, 75 302, 62 696, 4 526, 6 872, 4 383, 9 060, 6 117, 6 881, 12 110,1 826 425,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP,Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 952 680
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Commonwealth of Australia 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
